route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
SIM1C,YU_A6-Weekday-SDon,YU_A6-Weekday-SDon-053800_SIM10_587,MIDTOWN via CHURCH ST via 6 AV,0,38668022,SIM1C0104
SIM1C,YU_A6-Weekday-SDon,YU_A6-Weekday-SDon-115400_SIM1_563,ELTNGVLLE TRANS CTR  via HYLAN via RICH,1,38668032,SIM1C0110
SIM1C,YU_A6-Weekday-SDon,YU_A6-Weekday-SDon-027700_SIM1_546,MIDTOWN via CHURCH ST via 6 AV,0,38668051,SIM1C0104
SIM1C,YU_A6-Weekday-SDon,YU_A6-Weekday-SDon-050400_SIM7_677,MIDTOWN via CHURCH ST via 6 AV,0,38667955,SIM1C0104
SIM1,YU_A6-Weekday-SDon,YU_A6-Weekday-SDon-106600_SIM1_560,ELTNGVLLE TRANS  CTR via HYLAN via RICH,1,38668056,SIM10149
SIM1,YU_A6-Weekday-SDon,YU_A6-Weekday-SDon-093200_SIM1_559,ELTNGVLLE TRANS  CTR via HYLAN via RICH,1,38668084,SIM10149
SIM1,YU_A6-Weekday-SDon,YU_A6-Weekday-SDon-041800_SIM1_558,SOHO HOUSTON ST via CHURCH ST,0,38668089,SIM10139
SIM1,YU_A6-Weekday-SDon,YU_A6-Weekday-SDon-043600_MISC_756,SOHO HOUSTON ST via CHURCH ST,0,38668090,SIM10139
SIM1,YU_A6-Weekday-SDon,YU_A6-Weekday-SDon-090000_SIM1_557,ELTNGVLLE TRANS  CTR via HYLAN via RICH,1,38668103,SIM10149
SIM1C,YU_A6-Weekday-SDon,YU_A6-Weekday-SDon-057500_SIM1_563,MIDTOWN via CHURCH ST via 6 AV,0,38668102,SIM1C0104
SIM1C,YU_A6-Weekday-SDon,YU_A6-Weekday-SDon-053000_MISC_726,MIDTOWN via CHURCH ST via 6 AV,0,38668101,SIM1C0104
SIM1C,YU_A6-Weekday-SDon,YU_A6-Weekday-SDon-075000_MISC_742,ELTNGVLLE TRANS CTR  via HYLAN via RICH,1,38668099,SIM1C0110
SIM1C,YU_A6-Weekday-SDon,YU_A6-Weekday-SDon-060700_SIM1_565,MIDTOWN via CHURCH ST via 6 AV,0,38668100,SIM1C0104
SIM1,YU_A6-Weekday-SDon,YU_A6-Weekday-SDon-102400_SIM1_555,ELTNGVLLE TRANS  CTR via HYLAN via RICH,1,38668112,SIM10149
SIM1,YU_A6-Weekday-SDon,YU_A6-Weekday-SDon-044200_SIM1_546,SOHO HOUSTON ST via CHURCH ST,0,38668051,SIM10139
SIM1C,YU_A6-Weekday-SDon,YU_A6-Weekday-SDon-125400_MISC_778,ELTNGVLLE TRANS CTR  via HYLAN via RICH,1,38668118,SIM1C0110
SIM1C,YU_A6-Weekday-SDon,YU_A6-Weekday-SDon-143200_MISC_778,ELTNGVLLE TRANS CTR  via HYLAN via RICH,1,38668118,SIM1C0110
SIM1,YU_A6-Weekday-SDon,YU_A6-Weekday-SDon-106100_SIM1_556,ELTNGVLLE TRANS  CTR via HYLAN via RICH,1,38668119,SIM10149
SIM1,YU_A6-Weekday-SDon,YU_A6-Weekday-SDon-037200_MISC_730,SOHO HOUSTON ST via CHURCH ST,0,38668122,SIM10139
SIM1,YU_A6-Weekday-SDon,YU_A6-Weekday-SDon-045400_SIM1_561,SOHO HOUSTON ST via CHURCH ST,0,38668126,SIM10139
SIM1C,YU_A6-Weekday-SDon,YU_A6-Weekday-SDon-117400_SIM1_564,ELTNGVLLE TRANS CTR  via HYLAN via RICH,1,38668134,SIM1C0110
SIM1C,YU_A6-Weekday-SDon,YU_A6-Weekday-SDon-095000_MISC_724,MIDTOWN via CHURCH ST via 6 AV,0,38668163,SIM1C0104
SIM1C,YU_A6-Weekday-SDon,YU_A6-Weekday-SDon-113400_MISC_756,ELTNGVLLE TRANS CTR  via HYLAN via RICH,1,38667919,SIM1C0110
SIM1C,YU_A6-Weekday-SDon,YU_A6-Weekday-SDon-042000_SIM10_586,ELTNGVLLE TRANS CTR  via HYLAN via RICH,1,38667825,SIM1C0110
SIM10,YU_A6-Weekday-SDon,YU_A6-Weekday-SDon-026500_SIM10_580,MIDTOWN via 23 ST via 6 AV,0,38667820,SIM100087
SIM10,YU_A6-Weekday-SDon,YU_A6-Weekday-SDon-027800_SIM10_581,MIDTOWN via 23 ST via 6 AV,0,38667821,SIM100087
SIM10,YU_A6-Weekday-SDon,YU_A6-Weekday-SDon-028800_SIM10_582,MIDTOWN via 23 ST via 6 AV,0,38667822,SIM100087
SIM10,YU_A6-Weekday-SDon,YU_A6-Weekday-SDon-037300_SIM10_589,MIDTOWN via 23 ST via 6 AV,0,38667829,SIM100087
SIM10,YU_A6-Weekday-SDon,YU_A6-Weekday-SDon-033600_MISC_717,MIDTOWN via 23 ST via 6 AV,0,38667827,SIM100087
SIM10,YU_A6-Weekday-SDon,YU_A6-Weekday-SDon-034600_MISC_721,MIDTOWN via 23 ST via 6 AV,0,38667828,SIM100087
SIM10,YU_A6-Weekday-SDon,YU_A6-Weekday-SDon-048000_MISC_710,MIDTOWN via 23 ST via 6 AV,0,38668023,SIM100087
SIM10,YU_A6-Weekday-SDon,YU_A6-Weekday-SDon-087600_MISC_737,ELTINGVILLE TRANS CTR via HYLAN via RICH,1,38667838,SIM100095
