NTACode,income_score,car_score,bus_subway_score,reliability_score,ridership_score,index_score
BK1801,0.6580538365984022,0.5780645161290322,1.0,0.7896384081736327,0.8301837971513352,0.764609
BK1802,0.5247928704115241,0.4554838709677419,1.0,0.8280768962807887,0.6776472215386292,0.682036
BK1803,0.661310358188884,0.5832258064516129,,,,0.281973
BK1891,,,,,,0.0
BK1892,,,,,,0.0
BK1893,,,1.0,0.9081987439784889,0.4325341032956043,0.422737
BK5591,,,1.0,0.8168561297399751,0.7834014677111727,0.479209
BK5691,,0.2438709677419355,,,,0.048774
BK5692,,,,,,0.0
BK5693,,,1.0,0.9863747370517211,0.2292062087215671,0.393797
BX0101,0.9895039146637492,0.864516129032258,0.9231,0.7647699689558782,0.40510869447828307,0.800636
BX0102,0.9952448516758408,0.8503225806451613,0.9423,0.6772857501643175,0.3598788061259233,0.780904
BX0201,0.9593404902731716,0.8193548387096774,0.9762,0.6963345213145807,0.4189945285269403,0.787195
BX0202,0.9421119810363888,0.7754838709677419,0.9286,0.7434828425032483,0.33650933711546827,0.755169
BX0291,,,,,,0.0
BX0301,0.9883300853590437,0.7754838709677419,1.0,0.7761258649089964,0.4046485387773864,0.799528
BX0302,0.9460237956853226,0.7703225806451612,1.0,0.7975099700801369,0.4079164447419663,0.79178
BX0303,0.959058429348012,0.7741935483870968,0.925,0.8358642044195012,0.3988505874049091,0.784753
BX0391,,,1.0,0.8432636187370786,0.37992260362321867,0.402474
BX0401,0.8983811412355978,0.8348387096774194,0.9231,0.8014830310612123,0.44151384818377487,0.784708
BX0402,0.9000307702827447,0.8567741935483871,1.0,0.9233719006545908,0.3320679464815475,0.801282
BX0403,0.9155897067706018,0.8206451612903226,0.9318,0.8323906937367852,0.350868193565983,0.774419
BX0491,,,0.8571,0.8629305567836786,0.47484378350722783,0.395828
BX0492,,,1.0,0.9532601724368639,0.5135686867616192,0.445703
BX0501,0.9557933604567678,0.7948387096774193,1.0,0.6798964964729395,0.3435079468985719,0.768602
BX0502,0.928601547631258,0.824516129032258,0.913,0.6966846307251955,0.4508215156042845,0.774321
BX0503,0.9527448231848382,0.8761290322580645,0.8696,0.7769969226732387,0.5347860352338976,0.810839
BX0601,1.0,0.752258064516129,0.9394,0.7445197077438139,0.7845557772367387,0.856921
BX0602,0.9587792175231062,0.7212903225806451,1.0,0.6725628417920619,0.6091213308421433,0.806662
BX0603,0.9845350838205296,0.8296774193548387,1.0,0.7679063574029865,0.5191048142531185,0.831076
BX0701,0.9217864998233558,0.8270967741935484,0.9636,0.7762611376272037,0.5303531895329961,0.811096
BX0702,0.923074293138227,0.8516129032258064,0.9565,0.7715977791885166,0.3770256961842799,0.783536
BX0703,0.8840245250549876,0.7612903225806451,0.9231,0.7643285172359942,0.3606561000716817,0.744665
BX0801,0.8297149760105759,0.784516129032258,1.0,0.7733011960414027,0.5517078987938107,0.790669
BX0802,0.8145406680570276,0.7316129032258065,0.9091,0.7224493777684318,0.5662808905035811,0.753401
BX0803,0.5937297001606893,0.5729032258064516,1.0,0.6496472881296194,0.5648260928541953,0.673425
BX0901,0.9402087820666234,0.7470967741935484,0.9455,0.7174705733135687,0.49024007318948426,0.77924
