nta2020,ntaname,boroname,Total Votes,Zohran Kwame Mamdani,Zohran Kwame Mamdani (%),Andrew M. Cuomo (%),Curtis A. Sliwa (%),winning_candidate,winning_percentage,income_score,car_score,bus_subway_score,reliability_score,ridership_score,index_score,index_no_car
BK0802,Crown Heights (North),Brooklyn,23849,18956,79.48,18.48,1.2,Zohran Kwame Mamdani,79.48,0.6836302095798147,0.863225806451613,0.9769,0.8159111395116683,0.4594191474861598,0.753203,0.725698
BK0104,East Williamsburg,Brooklyn,17523,13187,75.26,20.41,3.59,Zohran Kwame Mamdani,75.26,0.6626266425062965,0.910967741935484,0.9537,0.8197770637004118,0.4487962726898049,0.751316,0.711403
BK1102,Bath Beach,Brooklyn,5810,1936,33.32,49.52,16.57,Andrew M. Cuomo,49.52,0.6428766795445998,0.6335483870967742,0.9787,0.7919898599618465,0.7444594131616254,0.750859,0.780187
BK1601,Ocean Hill,Brooklyn,6865,4827,70.31,26.7,1.75,Zohran Kwame Mamdani,70.31,0.784314563460859,0.8051612903225807,0.9385,0.8911892033692412,0.3617701430912218,0.750843,0.737264
BK1502,Madison,Brooklyn,10688,1842,17.23,71.61,10.69,Andrew M. Cuomo,71.61,0.7363385642814,0.6645161290322581,0.9753,0.8552481902430363,0.5432826867272248,0.748992,0.770111
BX0703,Norwood,Bronx,5136,3150,61.33,31.43,6.44,Zohran Kwame Mamdani,61.33,0.8840245250549876,0.7612903225806451,0.9231,0.7643285172359942,0.3606561000716817,0.744665,0.740508
BK0402,Bushwick (East),Brooklyn,14354,11313,78.81,17.82,2.7,Zohran Kwame Mamdani,78.81,0.7442961012912122,0.8064516129032259,0.9158,0.8099171488914725,0.4439791344164102,0.740808,0.724397
QN1201,Jamaica,Queens,10328,7103,68.77,26.8,3.71,Zohran Kwame Mamdani,68.77,0.8235723158626506,0.6929032258064516,0.955,0.8661764868625487,0.3761524821658494,0.740631,0.752563
MN0703,Upper West Side-Manhattan Valley,Manhattan,19012,12129,63.8,32.44,2.57,Zohran Kwame Mamdani,63.8,0.4127918903210366,0.9638709677419356,0.963,0.7809542686800559,0.671057373957008,0.739927,0.683941
BK0505,East New York-City Line,Brooklyn,6445,4185,64.93,30.61,3.32,Zohran Kwame Mamdani,64.93,0.8716651281525294,0.7187096774193549,0.9722,0.8558840920109524,0.2762259875867002,0.739726,0.74498
BX1004,Co-op City,Bronx,11575,5477,47.32,46.44,4.8,Zohran Kwame Mamdani,47.32,0.783559551893512,0.6619354838709677,1.0,0.8651685738754693,0.3831658181823187,0.734685,0.752873
QN0901,Kew Gardens,Queens,6720,3164,47.08,44.45,7.69,Zohran Kwame Mamdani,47.08,0.679396446602163,0.6580645161290323,1.0,0.7345837122995524,0.5689241801571863,0.725434,0.742277
QN0502,Ridgewood,Queens,16368,11403,69.67,21.16,8.68,Zohran Kwame Mamdani,69.67,0.650731648945263,0.7716129032258064,0.9655,0.7126733589798487,0.5334235709221841,0.723691,0.711711
QN0401,Elmhurst,Queens,16010,8437,52.7,37.68,8.9,Zohran Kwame Mamdani,52.7,0.7470511812369653,0.8090322580645162,0.8235,0.5372323707734137,0.647798173604635,0.723414,0.702009
BX0902,Soundview-Clason Point,Bronx,6169,3071,49.78,42.73,6.19,Zohran Kwame Mamdani,49.78,0.8636392127366178,0.5174193548387097,1.0,0.6923882381015112,0.493432549309976,0.721938,0.773068
BK0502,East New York (North),Brooklyn,5401,3195,59.16,36.12,3.37,Zohran Kwame Mamdani,59.16,0.7573763205579678,0.7303225806451612,0.9194,0.9399740668716994,0.2968715994105609,0.719659,0.716993
MN0702,Upper West Side (Central),Manhattan,40426,20431,50.54,45.79,2.6,Zohran Kwame Mamdani,50.54,0.2884770989321572,0.9509677419354838,0.9592,0.8363849822748373,0.6928002881115062,0.718171,0.659971
BX1001,Westchester Square,Bronx,2814,1900,67.52,25.98,5.79,Zohran Kwame Mamdani,67.52,0.861869921478797,0.6606451612903226,0.9167,0.7331801855101452,0.3796219717428507,0.716838,0.730886
QN0801,Kew Gardens Hills,Queens,8301,1748,21.06,72.12,6.14,Andrew M. Cuomo,72.12,0.6529112106396799,0.5135483870967741,1.0,0.8079582378523653,0.6382068607764193,0.714773,0.765079
BX1104,Allerton,Bronx,4261,2240,52.57,38.21,7.91,Zohran Kwame Mamdani,52.57,0.883357835595519,0.7070967741935483,0.9688,0.7421667632507127,0.2095462529994849,0.709253,0.709792
QN0805,Jamaica Hills-Briarwood,Queens,8363,5150,61.58,31.88,5.86,Zohran Kwame Mamdani,61.58,0.6701568144779879,0.576774193548387,0.95,0.7892236725683501,0.5867897756620607,0.708636,0.741601
QN0704,Murray Hill-Broadway Flushing,Queens,10123,3208,31.69,52.54,15.0,Andrew M. Cuomo,52.54,0.7866992603735741,0.5793548387096774,1.0,0.7472556552836829,0.4146959811895205,0.707573,0.739628
BK0501,Cypress Hills,Brooklyn,4534,2562,56.51,36.13,6.35,Zohran Kwame Mamdani,56.51,0.7353071899894014,0.6941935483870967,0.9388,0.916518993266532,0.2866902317416902,0.705241,0.708003
BK0203,Fort Greene,Brooklyn,11080,8731,78.8,18.29,1.7,Zohran Kwame Mamdani,78.8,0.426949069483857,0.8993548387096775,0.9375,0.8390990378821913,0.5261619928098571,0.705205,0.656668
QN1104,Oakland Gardens-Hollis Hills,Queens,5754,1588,27.6,58.92,12.72,Andrew M. Cuomo,58.92,0.6017527664763468,0.3780645161290322,1.0,0.8297765619391476,0.7726962972826116,0.705057,0.786805
BK0702,Sunset Park (West),Brooklyn,10892,7697,70.67,23.07,5.57,Zohran Kwame Mamdani,70.67,0.7126511447684821,0.8451612903225807,0.9457,0.7987594462494995,0.2299725647560279,0.702143,0.666389
MN0402,Hell's Kitchen,Manhattan,18191,11502,63.23,31.48,4.43,Zohran Kwame Mamdani,63.23,0.5427535984136209,0.9548387096774194,0.9828,0.7626982949653776,0.3135351454522562,0.700328,0.6367
QN0802,Pomonok-Electchester-Hillcrest,Queens,7516,2646,35.2,55.3,8.48,Andrew M. Cuomo,55.3,0.6123514194217465,0.5664516129032258,1.0,0.8114929581473252,0.5548534114897901,0.699073,0.732228
QN0601,Rego Park,Queens,7633,2724,35.69,54.59,9.01,Andrew M. Cuomo,54.59,0.6551192633366383,0.7212903225806451,0.9524,0.621452659327949,0.5157705300107632,0.69489,0.68829
MN0602,Gramercy,Manhattan,10285,5015,48.76,47.25,2.98,Zohran Kwame Mamdani,48.76,0.3337151127673881,0.9793548387096774,0.9024,0.7027815322390873,0.6118275404127579,0.687562,0.614614
BK1802,Marine Park-Mill Basin-Bergen Beach,Brooklyn,12162,2309,18.99,64.68,15.84,Andrew M. Cuomo,64.68,0.5247928704115241,0.4554838709677419,1.0,0.8280768962807887,0.6776472215386292,0.682036,0.738674
QN0105,Queensbridge-Ravenswood-Dutch Kills,Queens,7424,4805,64.72,28.83,5.31,Zohran Kwame Mamdani,64.72,0.70335168153897,0.8658064516129033,0.75,0.6458076379568138,0.4249534029072773,0.680861,0.634625
QN0902,Richmond Hill,Queens,5761,2923,50.74,39.23,9.27,Zohran Kwame Mamdani,50.74,0.6854479355419558,0.5625806451612904,0.9,0.8250270843794468,0.4635182129373775,0.680336,0.709775
BK0701,Windsor Terrace-South Slope,Brooklyn,10935,8102,74.09,21.3,3.69,Zohran Kwame Mamdani,74.09,0.3875745039716457,0.8825806451612903,0.9189,0.8458048153409764,0.4786238339585098,0.679785,0.629086
MN0401,Chelsea-Hudson Yards,Manhattan,22601,12337,54.59,40.48,3.9,Zohran Kwame Mamdani,54.59,0.4341003111217477,0.9612903225806452,0.9367,0.7567893895636025,0.3734969347694521,0.676341,0.605104
BX1102,Morris Park,Bronx,4795,2012,41.96,42.31,14.95,Andrew M. Cuomo,42.31,0.6943741666381756,0.567741935483871,0.9592,0.7062670443060151,0.456059549977127,0.676134,0.703232
BK0204,Clinton Hill,Brooklyn,11884,9733,81.9,15.96,1.36,Zohran Kwame Mamdani,81.9,0.3727477862491025,0.9161290322580644,0.9608,0.8006532477270772,0.4357443535091482,0.67582,0.615742
QN0803,Fresh Meadows-Utopia,Queens,4847,1593,32.87,59.11,7.37,Andrew M. Cuomo,59.11,0.6297936111775901,0.4451612903225806,1.0,0.8235203264415039,0.5289957928969953,0.675808,0.73347
QN1001,South Ozone Park,Queens,11655,6417,55.06,36.22,8.05,Zohran Kwame Mamdani,55.06,0.5948351510592955,0.44,1.0,0.7168730048008045,0.6538468477824326,0.675009,0.733761
