NTACode,income_score,car_score,bus_subway_score,reliability_score,ridership_score,index_score
QN0871,,,1.0,0.08602215861081404,0.7305699121287373,0.359017
QN0891,,,1.0,0.1867889409885197,0.6786365714492137,0.363746
QN0901,0.679396446602163,0.6580645161290323,1.0,0.2654162877004475,0.2897925783390539,0.599233
QN0902,0.6854479355419558,0.5625806451612904,0.9,0.17497291562055317,0.4635182129373775,0.582828
QN0903,0.6977304067375523,0.5729032258064516,0.7778,0.2025652439470963,0.31269736916651264,0.537498
QN0904,0.7358257262356548,0.6064516129032258,0.6923,0.2025652439470963,0.31269736916651264,0.536631
QN0905,0.6736412640888008,0.6709677419354838,0.85,0.14987573029057238,0.31406461349665243,0.557898
QN1001,0.5948351510592955,0.44000000000000006,1.0,0.28312699519919543,0.6538468477824326,0.609947
QN1002,0.6871687920954563,0.5419354838709678,0.5,0.28312699519919543,0.6538468477824326,0.553418
QN1003,0.6290243541089724,0.2503225806451612,,,,0.207321
QN1091,,,,,,0.0
QN1101,0.6182205659452744,0.3961290322580645,1.0,0.2336831358454371,0.6290835426249054,0.59465
QN1102,0.5591587176769577,0.41419354838709677,1.0,0.1883147631961102,0.6216045545228506,0.575197
QN1103,0.4908458408834489,0.3419354838709677,,,,0.191099
QN1104,0.6017527664763468,0.37806451612903225,1.0,0.17022343806085236,0.7726962972826116,0.606124
QN1191,,0.5019354838709678,1.0,0.2367865353272279,0.9490902199689165,0.525723
QN1201,0.8235723158626506,0.6929032258064516,0.955,0.13382351313745133,0.3433671370725345,0.624221
QN1202,0.7311361072173408,0.5058064516129032,1.0,0.10149951485939679,0.1879053721373374,0.536751
QN1203,0.6551676980409586,0.4025806451612902,1.0,0.12346655943109429,0.16655926230661255,0.49614
QN1204,0.7394298380571416,0.424516129032258,1.0,0.12116870111891051,0.2029446988036833,0.528525
QN1205,0.5935188667418829,0.41290322580645167,1.0,0.0845190820728158,0.21741195583013045,0.487121
QN1206,0.6738463993070989,0.46709677419354834,1.0,0.16895504593896107,0.3223747682901414,0.551699
QN1301,0.535086669629731,0.16645161290322585,1.0,0.2704899752343667,0.5330024288870306,0.514236
QN1302,0.5595177043089792,0.29548387096774187,1.0,0.257801867227694,0.6508776121667511,0.567822
QN1303,0.5847436379591324,0.41161290322580646,1.0,0.24766253116319875,0.4856671185692943,0.562791
QN1304,0.5113793064150342,0.34967741935483876,1.0,0.08567541174340262,0.5074403586239353,0.51212
QN1305,0.523527869898686,0.34838709677419355,1.0,0.11887741678064984,0.17754113686549258,0.453899
QN1306,0.5315281434123105,0.37290322580645163,0.9565,0.09526742324984877,0.22055499084622385,0.457164
QN1307,0.5133907711944568,0.32387096774193547,1.0,0.14614713688635997,0.1582805414490198,0.4467
QN1371,,,1.0,0.08675341822753864,0.25441425877765267,0.263896
QN1401,0.7662142295463092,0.4554838709677419,,,,0.28265
QN1402,0.8430145759969002,0.47096774193548385,,,,0.304947
QN1403,0.4689676000319099,0.2503225806451612,,,,0.167306
QN1491,,,,,,0.0
QN8081,,,,,,0.0
QN8191,,,0.75,0.8442665800337158,0.6751881624670648,0.411678
QN8291,,,1.0,0.4001402019010678,0.48120921858003185,0.356263
QN8381,,,,,,0.0
QN8491,,,,,,0.0
QN8492,,,,,,0.0
SI0101,0.7558634483230195,0.6141935483870967,0.9897,0.18086650324003867,0.045729871544413866,0.546021
SI0102,0.8806853795571359,0.552258064516129,0.9701,0.18575006411321227,0.04407076711099254,0.56132
SI0103,0.7406805930687089,0.41161290322580646,0.9804,0.10787808300975292,0.10482585880096876,0.50072
SI0104,0.6114852929444881,0.37548387096774194,1.0,0.18499564050328302,0.07144415061138842,0.470006
SI0105,0.5046554298152643,0.2451612903225806,1.0,0.12940699899935662,0.04627478657155833,0.403862
SI0106,0.6769034838797907,0.3651612903225806,1.0,0.1384684568832094,0.04969827147018846,0.472968
SI0107,0.692932521909581,0.37548387096774194,,,,0.24833
SI0191,,,1.0,0.18959241658106352,0.15342482545534442,0.259124
SI0201,0.7190331293377552,0.4309677419354838,0.9789,0.10530001307403258,0.12004599260743125,0.501536
SI0202,0.6231523584851903,0.3870967741935484,0.9741,0.11169946715817577,0.0919738214201892,0.463177
SI0203,0.5570845726919439,0.28903225806451616,1.0,0.17849006984087912,0.03436490423582358,0.430724
SI0204,0.6115992569546538,0.25806451612903225,1.0,0.1280604597678766,0.05815568855512316,0.435353
SI0291,,,1.0,0.21880523474942007,0.07478304818348483,0.247777
SI0301,0.499509954756288,0.32387096774193547,0.9726,0.13125328322504584,0.09604082251623981,0.423068
SI0302,0.4472745506968899,0.24903225806451612,0.982,0.17024391637121308,0.06272665638624056,0.396107
SI0303,0.5569478158797452,0.09419354838709693,1.0,0.2408795331663055,0.0028203775524682203,0.394772
SI0304,0.5508336467343613,0.23096774193548386,0.969,0.16390897584665715,0.03151824290091195,0.408592
SI0305,0.4159629389038941,0.13935483870967758,0.9639,0.27775942484879834,0.02231904646299096,0.370769
SI0391,,0.0,1.0,0.2986431738904926,0.0,0.244796
