route_id,NTACode
X28,MN0202
X28,MN0501
X28,MN0502
X28,BK1001
X28,BK1091
X38,BK1001
X38,BK1091
B74,BK1302
B36,BK1503
B36,BK1501
B36,BK1301
B36,BK1302
B36,BK1303
B3,BK1103
B3,BK1501
B3,BK1502
B3,BK1503
B3,
B3,BK1802
B6,BK1403
B6,BK1401
B6,BK1702
B6,BK1801
B6,
B6,BK0503
B6,BK1204
B6,BK1101
B6,BK1102
B6,BK1103
B6,BK1301
B44,
B41,
BX26,BX1004
BX26,BX1202
BX26,BX1103
BX26,BX1104
BX26,BX2791
BX26,BX0702
BX25,BX1004
BX25,BX1202
BX25,BX1103
BX25,BX1104
BX25,BX2791
BX25,BX0702
BX26,BX0603
BX25,BX0603
BX41+,BX0503
BX41+,BX0502
BX41+,BX0302
BX41+,BX0403
BX41+,BX0401
BX41+,BX0301
BX41+,BX0102
BX41+,BX0101
BX41+,BX0603
BX41+,BX0703
BX41+,BX1201
BX41+,BX0702
BX41,BX1201
BX41,BX0703
BX41,BX0702
BX41,BX0603
BX41,BX0503
BX41,BX0502
BX41,BX0302
BX41,BX0403
BX41,BX0401
BX41,BX0301
BX41,BX0102
BX41,BX0101
BX39,BX1201
BX39,BX1203
BX39,BX1104
BX39,BX1101
BX39,BX0901
BX39,
BX39,BX0902
BX39,BX0904
BX4,BX1001
BX4,BX0904
BX4,BX0901
BX4,BX0303
BX4,BX0202
BX4,BX0102
BX4,
BX4A,BX1001
BX4A,BX1102
BX4A,BX0904
BX4A,BX0901
BX4A,BX0303
BX4A,BX0202
BX4A,
BX34,BX2691
BX34,BX1203
BX34,BX0703
BX34,BX0702
BX34,BX0701
BX34,BX1271
BX40,BX1001
BX40,BX1102
BX40,BX1101
BX40,BX0601
BX40,BX0602
BX40,BX0502
BX40,BX0501
BX40,BX0901
BX40,BX0904
BX40,BX1002
BX42,BX1002
BX42,BX1161
BX42,BX1001
BX42,BX1102
BX42,BX1101
BX42,BX0601
BX42,BX0602
BX42,BX0502
BX42,BX0501
BX42,BX0901
BX42,BX0904
BX42,BX1091
BX30,BX1004
BX30,BX1202
BX30,BX1201
BX30,BX1103
BX30,BX1104
BX30,BX1101
BX24,BX1161
BX24,BX1001
BX24,
BX24,BX1002
BX29,
BX22,
BX22,BX1001
BX22,BX0904
BX22,BX1101
BX22,BX2791
BX22,BX0902
BX22,BX0603
BX22,BX0701
BX22,BX0503
BX22,BX0702
BX22,BX0801
BX12+,
BX12+,BX1004
BX12+,BX1202
BX12+,BX1161
BX12+,BX1102
BX12+,BX1101
BX12+,BX2791
BX12+,BX0603
BX12+,BX0701
BX12+,BX0503
BX5,BX0902
BX5,BX0901
BX5,BX0202
BX5,
BX5,BX1002
BX5,BX0201
BX16,BX1202
BX16,BX1203
BX16,
BX16,BX2691
BX16,BX0703
BX16,BX1271
BX12,BX1004
BX12,BX1202
BX12,
BX12,BX1161
BX12,BX1102
BX12,BX1101
BX12,BX2791
BX12,BX0603
BX12,BX0701
BX12,BX0503
BX28,BX0703
BX28,BX2791
BX28,BX1201
BX28,BX1103
BX28,BX1202
BX28,BX1004
BX38,BX0703
BX38,BX2791
BX38,BX1201
BX38,BX1103
BX38,BX1202
BX38,BX1004
BX28,BX0701
BX28,BX0702
M100,MN1292
M100,
M100,MN1202
M100,MN1201
M100,MN0903
M100,MN0902
M100,MN0901
M100,MN1291
BX18A,BX0403
BX18A,BX0501
BX18A,BX0402
BX18B,BX0403
BX18B,BX0402
BX18B,BX0501
BX15,BX0603
BX15,BX0602
BX15,BX0302
BX15,BX0301
BX15,BX0102
BX20,
BX20,MN1292
BX20,BX0802
BX20,BX0803
BX7,
BX7,MN1202
BX7,MN1201
BX7,MN1292
BX7,BX0802
BX7,BX0803
BX1,BX0101
BX1,BX0401
BX1,BX0403
BX1,BX0502
BX1,BX0503
BX1,BX0701
BX1,BX0702
BX1,BX0703
BX1,BX0801
BX1,BX0802
BX2,BX0101
BX2,BX0102
BX2,BX0401
BX2,BX0403
BX2,BX0502
BX2,BX0503
BX2,BX0701
BX2,BX0702
BX2,BX0703
BX2,BX0801
BX2,BX0802
BX3,MN1201
BX3,MN1202
BX3,BX0501
BX3,BX0701
BX3,BX0801
BX3,BX0702
BX3,BX0802
BX13,MN1201
BX13,MN1202
BX13,BX0402
BX13,BX0491
BX13,BX0401
BX13,BX0403
BX13,BX0301
BX10,BX0703
BX10,BX0702
BX10,BX0801
BX10,BX0802
BX10,BX0803
BX9,BX0802
BX9,BX2691
BX9,BX0701
BX9,BX0603
BX9,BX0602
BX9,BX0601
BX9,BX2791
BX9,BX0702
BX9,BX0801
BX9,BX0803
BX6+,BX0201
BX6+,BX0202
BX6+,BX0301
BX6+,BX0401
BX6+,MN1201
BX6+,MN0903
BX6+,BX0491
BX33,BX0101
BX33,BX0401
BX33,
BX33,MN1002
BX8,BX1201
BX8,BX1104
BX8,BX1102
BX8,BX1001
BX8,
BX8,BX1002
BX8,BX1103
BX17,BX0101
BX17,BX0202
BX17,BX0301
BX17,BX0303
BX17,BX0391
BX17,BX0602
BX17,BX0603
BX17,BX0102
BX21,BX0101
BX21,BX0102
BX21,BX0301
BX21,BX0303
BX21,BX0601
BX21,BX1101
BX21,BX1102
BX21,BX1001
BX21,BX1161
BX35,MN1202
BX35,BX0402
BX35,BX0401
BX35,BX0302
BX35,BX0301
BX35,BX0303
BX35,BX0202
BX35,BX0403
BX35,MN1201
BX46,BX0102
BX46,BX0202
BX46,BX0201
BX19,MN0903
BX19,MN1002
BX19,BX0401
BX19,BX0101
BX19,BX0102
