NTACode,NTAName,bus_stop_count,subway_station_count,bus_dependency_ratio
MN0201,SoHo-Little Italy-Hudson Square,31,5,0.8611
BX0491,Yankee Stadium-Macombs Dam Park,6,1,0.8571
QN0271,Calvary & Mount Zion Cemeteries,6,1,0.8571
MN0202,Greenwich Village,40,7,0.8511
QN0905,Woodhaven,17,3,0.85
QN0602,Forest Hills,19,4,0.8261
QN0401,Elmhurst,42,9,0.8235
QN0102,Old Astoria-Hallets Point,9,2,0.8182
MN0102,Tribeca-Civic Center,52,13,0.8
QN0903,South Richmond Hill,7,2,0.7778
QN0105,Queensbridge-Ravenswood-Dutch Kills,6,2,0.75
QN8191,Flushing Meadows-Corona Park,3,1,0.75
QN0571,Mount Olivet & All Faiths Cemeteries,3,1,0.75
QN0201,Long Island City-Hunters Point,28,11,0.7179
QN0904,Ozone Park (North),9,4,0.6923
QN0101,Astoria (North)-Ditmars-Steinway,5,3,0.625
QN0104,Astoria (East)-Woodside (North),1,1,0.5
QN1002,Ozone Park,1,1,0.5
