NTACode,median_income,income_score
MN0901,75728.5,0.7351561876759319
MN0902,50453.0,0.87918105462295
MN0903,63574.0,0.8044149657538149
MN1001,78763.0,0.7178649982335579
MN1002,56884.0,0.8425359271542047
MN1101,40027.0,0.9385904931222719
MN1102,44697.5,0.9119770476483526
MN1201,67024.0,0.7847561740002507
MN1202,70095.5,0.7672541511390703
MN1203,74728.0,0.7408572372844655
QN0101,107192.0,0.5558708559836804
QN0102,111875.0,0.5291861830034075
QN0103,94628.0,0.6274630471697038
QN0104,88549.0,0.6621024080595348
QN0105,81310.0,0.70335168153897
QN0161,184083.0,0.11773052070156242
QN0201,171458.0,0.18967030211859093
QN0202,81997.5,0.6994341686895278
QN0203,75815.0,0.7346632933319658
QN0301,80378.5,0.7086595553124324
QN0302,77612.5,0.7244207779183334
QN0303,78293.5,0.7205403033721951
QN0401,73641.0,0.7470511812369653
QN0402,70921.0,0.7625502866194855
QN0501,86230.0,0.6753165350382349
QN0502,90544.5,0.650731648945263
QN0503,91488.0,0.6453553967657014
QN0504,100313.0,0.5950687772801349
QN0601,89774.5,0.6551192633366383
QN0602,108078.0,0.5508222503333448
QN0701,85819.0,0.6776584954471379
QN0702,105313.0,0.5665777747387375
QN0703,110572.0,0.5366109382656956
QN0704,66683.0,0.7866992603735741
QN0705,67277.0,0.783314529271656
QN0706,70028.0,0.7676387796733791
QN0707,54914.0,0.8537613821555152
QN0801,90162.0,0.6529112106396799
QN0802,97280.0,0.6123514194217465
QN0803,94219.0,0.6297936111775901
QN0804,97285.5,0.612320079318951
QN0805,87135.5,0.6701568144779879
QN0901,85514.0,0.679396446602163
QN0902,84452.0,0.6854479355419558
QN0903,82296.5,0.6977304067375523
QN0904,75611.0,0.7358257262356548
QN0905,86524.0,0.6736412640888008
QN1001,100354.0,0.5948351510592955
QN1002,84150.0,0.6871687920954563
QN1003,94354.0,0.6290243541089724
QN1101,96250.0,0.6182205659452744
QN1102,106615.0,0.5591587176769577
QN1103,118603.5,0.49084584088344896
QN1104,99140.0,0.6017527664763468
QN1201,60212.0,0.8235723158626506
QN1202,76434.0,0.7311361072173408
QN1203,89766.0,0.6551676980409586
QN1204,74978.5,0.7394298380571416
QN1205,100585.0,0.5935188667418829
QN1206,86488.0,0.6738463993070989
QN1301,110839.5,0.535086669629731
QN1302,106552.0,0.5595177043089792
QN1303,102125.0,0.5847436379591324
QN1304,115000.0,0.5113793064150342
QN1305,112868.0,0.523527869898686
QN1306,111464.0,0.5315281434123105
QN1307,114647.0,0.5133907711944568
QN1401,70278.0,0.7662142295463092
QN1402,56800.0,0.8430145759969002
QN1403,122443.0,0.46896760003190996
SI0101,72094.5,0.7558634483230195
SI0102,50189.0,0.8806853795571359
SI0103,74759.0,0.7406805930687089
SI0104,97432.0,0.6114852929444881
SI0105,116180.0,0.5046554298152643
SI0106,85951.5,0.6769034838797907
SI0107,83138.5,0.692932521909581
SI0201,78558.0,0.7190331293377552
SI0202,95384.5,0.6231523584851903
SI0203,106979.0,0.5570845726919439
SI0204,97412.0,0.6115992569546538
SI0301,117083.0,0.499509954756288
SI0302,126250.0,0.4472745506968899
SI0303,107003.0,0.5569478158797452
SI0304,108076.0,0.5508336467343613
SI0305,131745.0,0.41596293890389413
SI9561,67273.0,0.7833373220736891
